,Number,Merge,Text Content,Document,Codes,id
19,6:6,5,"Das Vorhaben „Zweite Fortschreibung Stadtentwicklungsplan Verkehr
(StEP Verkehr)“ (Projektlaufzeit: 04/2016 bis 07/2021) wird im Berliner Programm für Nachhaltige Entwicklung (BENE) gefördert aus Mitteln des Europäischen Fonds für Regionale Entwicklung und des Landes Berlin (Förderkennzeichen 1070-B5-O).",Berlin-VEP-beteiligung-2021.pdf,"researchers, ",Berlin-VEP-beteiligung-2021.pdf_5
20,7:1,1,"In der Erstellung der vorliegenden Mobilitätsstrategie wurde das öffentliche Meinungsbild über Multiplikatoren in den Prozess eingespeist, indem die Strategie in großer Transparenz zusammen mit verkehrspolitisch relevanten Gruppen und Verbänden erarbeitet wurde",Bielefeld-2020.pdf,"communication / transparency, multiplicators, non defined stakeholders, ",Bielefeld-2020.pdf_1
21,7:2,1,"m Folgeprozess, der die Auswahl von konkreten Maßnahmen in den Bezirken beinhaltet und damit näher an der Lebenswirklichkeit der Bürger ist, ist auch eine direkte Beteiligung der Bürger durchzuführen. Eine ausführliche Information der Öffentlichkeit mit geeigneten Beteiligungsformaten soll daher nach der angestrebten Verabschiedung des Leitbildes durchgeführt werden.",Bielefeld-2020.pdf,"citizens and wider public, communication / transparency, envisioning / common ground",Bielefeld-2020.pdf_1
22,7:3,2,"Veranstaltungen vor Ort sollten möglichst in allen Stadtbezirken stattfinden und interaktiv gestaltet werden, um die Hemmschwelle niedrig zu halten. ",Bielefeld-2020.pdf,"citizens and wider public, communication / transparency, exhibition / event / presentation, ",Bielefeld-2020.pdf_2
23,7:4,3," Sie können zudem mit Bürgerbeteiligung im Internet sowie kreativen und aufsuchenden Formaten zur Einbeziehung schwer erreichbarer Gruppen kombiniert werden, was sich zum Beispiel bei der Erstellung der Mobilitätspläne in Dresden und Bremen als erfolgreich erwiesen hat. ",Bielefeld-2020.pdf,"citizens and wider public, communication / transparency, online communication, ",Bielefeld-2020.pdf_3
24,7:5,4,,Bielefeld-2020.pdf,"consultants, municipal employees / members of the public administration, ",Bielefeld-2020.pdf_4
25,8:1,1,Die Bürgerinnen und Bürger wurden im direkten Dialog in einem Workshop im Herbst 2015,Bochum-Nahverkehrplan-2017.pdf,"citizen workshop / citizen forum, citizens and wider public",Bochum-Nahverkehrplan-2017.pdf_1
26,8:2,1,einer Informationsveranstaltung im Sommer 2016 beteiligt,Bochum-Nahverkehrplan-2017.pdf,"citizens and wider public, communication / transparency, exhibition / event / presentation, ",Bochum-Nahverkehrplan-2017.pdf_1
27,8:3,3,udem bot die Stadt Bochum über einen Zeitraum von 2 Monaten eine Internetplattform für Anregungen und Hinweise zu sämtlichen ÖPNV- Themen an.,Bochum-Nahverkehrplan-2017.pdf,"citizens and wider public, feedback / discussion, online platform",Bochum-Nahverkehrplan-2017.pdf_3
28,8:4,4,"Der Entwurf der Fortschreibung wurde lokal und regional einem Beteiligungsverfahren zugeführt. Auf lokaler Ebene erfolgte eine Beteiligung der Arbeitsgemeinschaft Behinderter, des Frauen- beirates, des Seniorenbeirates und des Beirates für Mobilität. Zur Vorbereitung der politischen Diskussionen wurde der Entwurf zeitgleich auch an die Fraktionen, politischen Gruppierungen und Einzelpersonen der Bezirksvertretungen und des Rates der Stadt Bochum mit einem Zeitablaufplan versendet.
Die regionale Abstimmung erfolgte mit den be- nachbarten Kreisen (EN und RE) und kreisfreien Städten Gelsenkirchen, Herne, Essen, Dortmund) und den Verkehrsunternehmen, die Verkehrs- leistungen auf Bochumer Stadtgebiet erbringen. Zudem wurden u.a. der VRR und der RVR beteiligt.
Der nach Abstimmung überarbeitete Entwurf ist in die politischen Gremien der Stadt Bochum einge- bracht worden. Dabei wurden die sechs Bezirksver- tretungen, der Frauenbeirat, der Seniorenbeirat, der Ausschuss für Infrastruktur und Mobilität sowie der Haupt- und Finanzausschuss beteiligt, be-
vor der Rat die Fortschreibung am (wird ergänzt) beschloss.",Bochum-Nahverkehrplan-2017.pdf,"advisory board, Committees representing public interests, decision-makers / political authorities, increase user acceptance / legitimacy, municipal employees / members of the public administration, political actors / district committees, social organisations / public interest groups, ",Bochum-Nahverkehrplan-2017.pdf_4
29,8:5,5,Der erste Nahverkehrsplan (NVP) der Stadt Bochum wurde 1997 aufgestellt und im Jahr 2009 fortgeschrieben. In der Fortschreibung formulierte der NVP 2009 als einer der ersten Nahverkehrspläne Qualitätsstandards und Zielvereinbarungen der Verkehrsbedie- nung. Die vorliegende zweite Fortschrei- bung kann sich somit auf eine solide Basis stützen.,Bochum-Nahverkehrplan-2017.pdf,"municipal employees / members of the public administration, ",Bochum-Nahverkehrplan-2017.pdf_5
30,9:1,1,"Kick-off-Termin mit der Verwaltung unmittelbar nach Projektstart. Ziel war u.a. die finale Abstimmung und Terminierung der wichtigsten Arbeitsinhalte, die Zeitplanung und ein Fahrplan zur Akteursbeteiligung,
● 6 Arbeitsgruppensitzungen für inhaltliche Abstimmungen mit der Verwal- tung sowie zur Vorbereitung der Workshop- und Bürgerwerkstatt-Termine bzw. der Informations-/ Präsentationstermine gegenüber Fachaus- schüssen und Bezirksvertretungen",Bottrop-Klimaschutzkonzept-2015.pdf,"envisioning / common ground, municipal employees / members of the public administration, political actors / district committees, project management, working group",Bottrop-Klimaschutzkonzept-2015.pdf_1
31,9:2,2,"2 Workshop-Termine mit Vertretern der betroffenen Verwaltungsabtei- lungen, Verkehrsunternehmen und Interessenverbänden (ADFC, Ver- kehrswacht etc.),",Bottrop-Klimaschutzkonzept-2015.pdf,"expert forum / expert workshop, municipal employees / members of the public administration, networks and associations, private business / economy, ",Bottrop-Klimaschutzkonzept-2015.pdf_2
32,9:3,2,"6 Termine in den Bezirksvertretungen der Stadt Bottrop,
● 4 Termine in politischen Fachausschüssen (Bau- und Verkehrsausschuss sowie Stadtplanungsausschuss),",Bottrop-Klimaschutzkonzept-2015.pdf,"decision-makers / political authorities, envisioning / common ground, meetings, political actors / district committees, ",Bottrop-Klimaschutzkonzept-2015.pdf_2
33,9:4,3,"-wöchige Ausstellung der großformatigen Informationsposter, die für die Bürgerwerkstätten entwickelt wurden, im Rathaus der Stadt Bottrop,",Bottrop-Klimaschutzkonzept-2015.pdf,"citizens and wider public, communication / transparency, exhibition / event / presentation, ",Bottrop-Klimaschutzkonzept-2015.pdf_3
34,9:5,4,Kontinuierliche Beteiligungsmöglichkeit der Bottroper Bürgerinnen und Bürger im Internet sowie über eine speziell eingerichtete Email-Adresse,Bottrop-Klimaschutzkonzept-2015.pdf,"citizens and wider public, feedback / discussion, online communication, ",Bottrop-Klimaschutzkonzept-2015.pdf_4
35,9:6,5,zwei Bür- gerwerkstätten am 28.06.2014 in Bottrop-Kirchhellen sowie am 5.07.2014,Bottrop-Klimaschutzkonzept-2015.pdf,"citizen workshop / citizen forum, citizens and wider public, feedback / discussion",Bottrop-Klimaschutzkonzept-2015.pdf_5
36,9:7,6,Ingenieurgruppe IVV GmbH & Co. KG,Bottrop-Klimaschutzkonzept-2015.pdf,"consultants, ",Bottrop-Klimaschutzkonzept-2015.pdf_6
37,10:1,1,"Der gesamte Erarbeitungsprozess des VEP wurde in enger Zusammenarbeit der Verwaltung und der Bremer Straßenbahn AG gemeinsam mit dem Auf- tragnehmer durchgeführt und durch den Projektbeirat kontinuierlich begleitet. Dieser hat die wesentlichen gesellschaftlichen Akteure aus dem Verkehrsbereich an einen Tisch gebracht, damit ein möglichst breiter gesellschaftlicher Konsens zur Entwicklung der Mobi- lität in Bremen erreicht werden konnte. ",Bremen-sump-2012.pdf,"advisory board, Committees representing public interests, consultants, municipal employees / members of the public administration, networks and associations, political actors / district committees, private business / economy, project management, transport providers and operators / public services like energy",Bremen-sump-2012.pdf_1
38,10:2,2,"Die Ziel- gruppe des Planungsdialogs sind dabei neben den Bürgerinnen und Bürgern die Stadtteilpolitik in den 22 Beiräten sowie die Träger öffentlicher Belange.
Für jede dieser Zielgruppen gab es spezifische Beteili- gungsformen",Bremen-sump-2012.pdf,"citizen workshop / citizen forum, citizens and wider public, Committees representing public interests, feedback / discussion, social organisations / public interest groups, ",Bremen-sump-2012.pdf_2
39,10:3,3,"Die sogenannten regionalen Bürgerforen fanden in jeder Projektphase statt. In der Zielfindungsphase am Anfang gab es abweichend zwei zentrale Bürgerforen in der Innenstadt. Die regionalen Bürgerforen waren in der Regel Abendveranstaltungen mit einem Umfang von etwa drei Stunden. Die Veranstaltungen fanden abends in Bürgerhäusern oder Veranstaltungszentren statt, wobei diese jeweils barrierefrei und gut mit dem ÖPNV erreichbar waren. Sie wurden durch einen externen Moderator geleitet.",Bremen-sump-2012.pdf,"citizen workshop / citizen forum, citizens and wider public, Committees representing public interests, feedback / discussion, ",Bremen-sump-2012.pdf_3
40,10:4,4,"Schon während der ersten Konzeptionsphase des Beteiligungskonzepts wurde klar, dass das Internet eine wichtige Rolle bei der Bürgerbeteiligung spielen kann. Als zentrale Beteiligungsplattform wurde gemeinsam mit dem Büro Nexthamburg das Web- portal www.bremen-bewegen.de geschaffen. Dieses wurde während vier der Bearbeitungsphasen genutzt, wobei die Ausrichtung und die Beteiligungsmethodik jeweils den speziellen Anforderungen der jeweiligen Phase entsprach. Die grundsätzliche Herangehens- weise der Stadt Bremen war es, den Fokus auf eine möglichst niedrigschwellige Beteiligung zu legen, damit das Portal von einer möglichst breiten Öffent- lichkeit genutzt werden kann. Der Einsatz von Social Media wie Twitter, Tumblr oder Facebook wurde dabei intensiv diskutiert und dann aufgrund der zu erwartenden Probleme (Datenschutz, Erwartungen der Nutzer vs. leistbare Betreuungsintensität) zuguns- ten eines klassischen Internetportals verworfen. Dieses setzt auf einem bereits am Markt befindlichen System auf, das für das Bremer Verfahren modifiziert wurde. Das Beteiligungsportal wurde im Rahmen
des Wettbewerbs als »Ausgezeichneter Ort im Land der Ideen 2013/2014« prämiert.",Bremen-sump-2012.pdf,"citizens and wider public, communication / transparency, online communication, ",Bremen-sump-2012.pdf_4
41,10:5,4,"Das Verfahren wurde durch eine aktive Presse- und Öffentlichkeitsarbeit flankiert, die die notwendige Aufmerksamkeit für die Beteiligungs- möglichkeiten erzeugte. Hierzu wurden auch Plakate, kostenlose Postkarten und Haltestangenanhänger in den Fahrzeugen der Bremer Straßenbahn AG einge- setzt. Außerdem wurden Multiplikatoren genutzt, um weitere Menschen zu erreichen, z.B. durch Hinweise auf anderen Webseiten (z.B. des Verkehrsverbunds oder auf der Startseite von www.bremen.de) oder durch E-Mail-Verteiler von Verbänden und Organisa- tionen.",Bremen-sump-2012.pdf,"citizens and wider public, press / marketing / public relations / communication",Bremen-sump-2012.pdf_4
42,10:6,5,"www.bremen-bewegen.de wurde deshalb primär als Informationsmedium genutzt, um die unterschiedlichen Szenarien und deren Inhalte auf plastische Art nachvoll- ziehbar zu machen. Weiterhin war es mög- lich, weitere Maßnahmen vorzuschlagen, die Eingang in eines der Szenarien haben sollten. Hierzu war eine einfache Registrie-
rung notwendig",Bremen-sump-2012.pdf,"citizens and wider public, communication / transparency, online communication, scenario development",Bremen-sump-2012.pdf_5
43,10:7,6,"Am 03.03.2014 wurde die Internetplattform www.bremen-bewegen.de wieder frei geschaltet. Bis zum 27.04.2014, an dem das Portal letztmalig geöffnet war, wurden folgende Eckwerte der Nutzung erreicht:
􏰀฀3.552 Besucher/innen insgesamt
􏰀฀419 eingereichte Bürgerszenarien",Bremen-sump-2012.pdf,"citizens and wider public, ideation / innovation, online platform, scenario development",Bremen-sump-2012.pdf_6
44,10:8,7,Der Schwerpunkt der Bürgerbeteiligung im Internet lag in der letzten Bearbeitungsphase auf der Informa- tionsvermittlung über das Handlungskonzept und die Finanzierungspfade. Das Internetportal www.bremen- bewegen.de war vom 16. Juni bis zum 6. Juli 2014 als Beteiligungsportal aktiv. Unter der Leitfrage »Welche Maßnahme kommt wann?«,Bremen-sump-2012.pdf,"citizens and wider public, communication / transparency, online communication, ",Bremen-sump-2012.pdf_7
45,10:9,8,Das Format »Bremen-Bewegen on Tour« präsentierte den VEP an mehreren Orten im Bremer Stadtgebiet.,Bremen-sump-2012.pdf,"citizens and wider public, city walks / city tours, communication / transparency, ",Bremen-sump-2012.pdf_8
46,10:10,9,"Durch die Zusammensetzung des Gremiums sollte sichergestellt werden, dass die Interessen der unterschiedlichen Akteure und gesellschaftlichen Gruppen in angemes- sener Weise in die Konzepterstellung einfließen und so ein ausgewogener VEP entstand. ",Bremen-sump-2012.pdf,"citizens and wider public, envisioning / common ground, non defined stakeholders, working group",Bremen-sump-2012.pdf_9
47,10:11,10,,Bremen-sump-2012.pdf,"municipal employees / members of the public administration, researchers, ",Bremen-sump-2012.pdf_10
48,12:1,1," Corona-Pandemie auf ein neues digitales Format der Beteiligung. Die Stadt hatte hierfür eine Digitale Mobilitätswoche ins Leben gerufen, worin in sechs kurzen Videos die Strategien zu den sechs Schwerpunkt-Themen Fußverkehr, Barrierefreiheit, Radverkehr, Verkehrssicherheit, Parken (Ruhender Verkehr) und Öffentlicher Raum vorgestellt wurden und anschließend bewertet werden konnten.
Im Nachgang zur Digitalen Mobilitätswoche fand ein Abschlussgespräch mit Planungsdezernent Ludger Wilde und weiteren Akteuren aus dem Prozess statt, bei dem bereits erste Ergebnisse der Umfragen reflektiert wurden.
Die Stadt Dortmund bedankt sich für das große Interesse an der Digitalen Mobilitätswoche! Der Dank richtet sich sowohl an die Unterstützer*innen, die auf unterschiedlichen Informationskanälen zur Beteiligung aufgerufen haben, als auch an die zahlreichen Rückmeldungen aus der Bürgerschaft.",Dortmund-2020.pdf,"citizens and wider public, communication / transparency, online ",Dortmund-2020.pdf_1
49,12:2,2,,Dortmund-2020.pdf,"consultants, municipal employees / members of the public administration, ",Dortmund-2020.pdf_2
50,13:1,1,involving,Dresden-SUMP-2015.pdf,"advisory board, feedback / discussion, researchers, ",Dresden-SUMP-2015.pdf_1
51,13:2,1,,Dresden-SUMP-2015.pdf,"decision-makers / political authorities, feedback / discussion, municipal employees / members of the public administration, researchers, round table, social organisations / public interest groups, transport providers and operators / public services like energy",Dresden-SUMP-2015.pdf_1
52,13:3,2,"Dresden‘s SUMP: tools of involving Public Relation Work
",Dresden-SUMP-2015.pdf,"citizens and wider public, experts-practitioners-planers, increase user acceptance / legitimacy, press / marketing / public relations / communication, ",Dresden-SUMP-2015.pdf_2
53,13:4,3,"“Dresdner Debatte” / Dresden Debate
 Dresden specific tool for citizen participation in urban development planning
 Online dialog
 “Offline” dialog – red Info-Box
 4-week dialog
 With accompanying events
 Used four times already 2010, 2011, 2013 TDP, 2014
",Dresden-SUMP-2015.pdf,"citizen workshop / citizen forum, citizens and wider public",Dresden-SUMP-2015.pdf_3
54,13:5,3,"Dresden Debate “fischelant mobil – thinking transport newly”
 21. September bis 19. Oktober 2013
 Online-Debate www.dresdner-debatte.de
- participation: ca. 2,200 citizen
- Visitors at the website: 4,500 with 42,293 clicks
- 1,200 written contributions
- Download of information: more than 400 times",Dresden-SUMP-2015.pdf,"citizens and wider public, feedback / discussion, online ",Dresden-SUMP-2015.pdf_3
55,13:6,4,"Info-Box
- City centre, near shopping centre „Altmarktgalerie“
- Tuesday – Friday 3 – 7 p.m. Saturday 11 a.m. – 4 p.m.
- Visitors: ca. 570
- Ballosplit-survey: 2,600 ball
",Dresden-SUMP-2015.pdf,"citizens and wider public, exhibition / event / presentation, feedback / discussion, ",Dresden-SUMP-2015.pdf_4
56,13:7,5, Consultants IVV Aachen / IVAS Dresden,Dresden-SUMP-2015.pdf,"researchers, ",Dresden-SUMP-2015.pdf_5
57,14:1,1,"Als wesentlicher Bestandteil des Masterplans wurden durch den Gutachter acht Experten- gespräche durchgeführt. Ziel war es, Ideen und Ansprüche aus der Stadtgesellschaft argumentativ in den Masterplan zu transportieren und dem Gutachter Einblicke in die lokalen Diskussionen und Befindlichkeiten zu gewähren. Die Interviewpartner wurden durch die Stadt Essen benannt und angefragt. Es handelt sich dabei um Vertreter der Uni- versität Duisburg-Essen, der Industrie- und Handelskammer für Essen, Mülheim und Ober- hausen, dem Handelsverband NRW – Ruhr, der Kreishandwerkerschaft Essen, dem Fahr- gastverband Pro Bahn e.V. Regionalverband Ruhr sowie Allgemeiner Deutscher Fahr- radclub - Kreisverband Essen (ADFC) und die Geschäftsbereichsvorstände der Stadt Essen für den Geschäftsbereich Planen sowie den Geschäftsbereich Umwelt und Bauen",Essen_Masterplan_Verkehr_2018.pdf,"feedback / discussion, interviews, municipal employees / members of the public administration, networks and associations, researchers, ",Essen_Masterplan_Verkehr_2018.pdf_1
58,14:2,2,"Ein Masterplan Verkehr in einer Stadt der Größenordnung von Essen ist nur umzusetzen, wenn sich die lokalen Akteure partnerschaftlich in den Gestaltungsprozess einbringen. Die Ergebnisse des Masterplans sollen zwar in erster Linie von der Stadtverwaltung umgesetzt, aber von allen handelnden Akteuren der Stadtgesellschaft sowie den Bürgern unterstützt werden. Ein transparenter Ablauf, Kommunikation und Interaktion zwischen der Verwal- tung und den örtlichen Akteuren spielen deshalb eine besondere Rolle bei der Erarbeitung von Lösungsmöglichkeiten zur Bewältigung der aktuellen Herausforderungen. Neben den regelmäßigen Jour fixes sowie einer Einbeziehung der Politik erfolgte mit den sogenannten „Expertengesprächen“ eine Einbeziehung lokaler Interessenverbände sowie bedeutender Multiplikatoren.",Essen_Masterplan_Verkehr_2018.pdf,"decision-makers / political authorities, feedback / discussion, interviews, multiplicators, municipal employees / members of the public administration, networks and associations, ",Essen_Masterplan_Verkehr_2018.pdf_2
59,14:3,2,"Ein Masterplan Verkehr in einer Stadt der Größenordnung von Essen ist nur umzusetzen, wenn sich die lokalen Akteure partnerschaftlich in den Gestaltungsprozess einbringen",Essen_Masterplan_Verkehr_2018.pdf,"non defined stakeholders, ",Essen_Masterplan_Verkehr_2018.pdf_2
60,14:4,3,,Essen_Masterplan_Verkehr_2018.pdf,"consultants, ",Essen_Masterplan_Verkehr_2018.pdf_3
61,15:1,1,,Flensburg-Mobilitätsplan-2017.PDF,"citizen workshop / citizen forum, citizens and wider public, envisioning / common ground, scenario development, working group",Flensburg-Mobilitätsplan-2017.PDF_1
62,15:2,2,,Flensburg-Mobilitätsplan-2017.PDF,"citizen workshop / citizen forum, citizens and wider public",Flensburg-Mobilitätsplan-2017.PDF_2
63,15:3,3,,Flensburg-Mobilitätsplan-2017.PDF,"experts-practitioners-planers, feedback / discussion, round table, ",Flensburg-Mobilitätsplan-2017.PDF_3
